127.0.0.1, 2018-08-24 16:56:34, GET, /FristSample/static/css/calendar.css, HTTP/1.1, 304, 0.008222
127.0.0.1, 2018-08-24 16:56:34, GET, /FristSample/static/js/web2py.js, HTTP/1.1, 304, 0.004737
127.0.0.1, 2018-08-24 16:56:34, GET, /FristSample/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.016951
127.0.0.1, 2018-08-24 16:56:34, GET, /FristSample/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.021593
127.0.0.1, 2018-08-24 16:56:34, GET, /FristSample/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.010678
127.0.0.1, 2018-08-24 16:56:34, GET, /FristSample/static/images/favicon.ico, HTTP/1.1, 304, 0.012484
127.0.0.1, 2018-08-24 16:56:34, GET, /FristSample/default/index, HTTP/1.1, 500, 0.091674
127.0.0.1, 2018-08-24 16:56:38, GET, /admin/default/ticket/FristSample/127.0.0.1.2018-08-24.16-56-34.0b1752f1-8b54-492b-8b78-0d0727c85f54, HTTP/1.1, 200, 0.356516
127.0.0.1, 2018-08-24 16:56:50, GET, /FristSample/default/index, HTTP/1.1, 500, 0.049537
127.0.0.1, 2018-08-24 16:56:56, GET, /FristSample/default/index, HTTP/1.1, 500, 0.048861
127.0.0.1, 2018-08-24 16:57:06, GET, /FristSample/default/index, HTTP/1.1, 200, 0.048671
127.0.0.1, 2018-08-24 16:57:31, GET, /FristSample/default/index, HTTP/1.1, 200, 0.054041
127.0.0.1, 2018-08-24 16:57:34, GET, /FristSample/default/index, HTTP/1.1, 200, 0.081514
127.0.0.1, 2018-08-24 17:02:04, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.063839
127.0.0.1, 2018-08-24 17:02:41, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.052743
127.0.0.1, 2018-08-24 17:02:43, GET, /FristSample/displayhelloword/abc, HTTP/1.1, 404, 0.055092
127.0.0.1, 2018-08-24 17:03:04, GET, /FristSample/displayhelloword/abc, HTTP/1.1, 404, 0.043811
127.0.0.1, 2018-08-24 17:03:22, GET, /FristSample/displayhelloword/abc, HTTP/1.1, 404, 0.044655
127.0.0.1, 2018-08-24 17:04:20, GET, /FristSample/displayhelloword/abc, HTTP/1.1, 200, 0.054319
127.0.0.1, 2018-08-27 09:17:57, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001852
127.0.0.1, 2018-08-27 09:17:57, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002859
127.0.0.1, 2018-08-27 09:17:57, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000787
127.0.0.1, 2018-08-27 09:17:57, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001025
127.0.0.1, 2018-08-27 09:17:57, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002261
127.0.0.1, 2018-08-27 09:17:57, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001191
127.0.0.1, 2018-08-27 09:17:57, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001950
127.0.0.1, 2018-08-27 09:17:57, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002478
127.0.0.1, 2018-08-27 09:17:57, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001159
127.0.0.1, 2018-08-27 09:18:12, GET, /, HTTP/1.1, 303, 15.013756
127.0.0.1, 2018-08-27 09:18:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.192696
127.0.0.1, 2018-08-27 09:19:29, GET, /FristSanple/displayhelloword/abc, HTTP/1.1, 404, 0.000418
127.0.0.1, 2018-08-27 09:19:37, GET, /FristSanple/displayhelloword/abc, HTTP/1.1, 404, 0.000268
127.0.0.1, 2018-08-27 09:19:42, GET, /FristSanple/displayhelloword/index, HTTP/1.1, 404, 0.000395
127.0.0.1, 2018-08-27 09:20:19, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.055420
127.0.0.1, 2018-08-27 09:20:19, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.008663
127.0.0.1, 2018-08-27 09:21:52, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.008970
127.0.0.1, 2018-08-27 09:22:27, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.008510
127.0.0.1, 2018-08-27 09:25:20, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.009029
127.0.0.1, 2018-08-27 09:26:18, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.008311
